row_index,round,codes,has_disagreement,similarities,divergence_analysis,correct_code,sim_Ava_Ben,sim_Ava_Cam,sim_Ben_Cam
210,1,"{'Ava': 'NONE', 'Ben': 'GT', 'Cam': 'WCT'}",True,"{('Ava', 'Ben'): 0.5158841013908386, ('Ava', 'Cam'): 0.33495599031448364, ('Ben', 'Cam'): 0.30826789140701294}","{'has_disagreement': True, 'disagreement_pattern': {'Ava': 'NONE', 'Ben': 'GT', 'Cam': 'WCT'}, 'unique_keywords': [{'agent': 'Ava', 'code': 'NONE', 'unique_terms': ['non', 'non distracting', 'way', 'talking visitor']}, {'agent': 'Ben', 'code': 'GT', 'unique_terms': ['students', 'teacher', 'group']}], 'shared_keywords': [{'term': 'addressing', 'agents': ['Ben', 'Cam']}, {'term': 'teacher addressing', 'agents': ['Ava', 'Ben']}], 'agent_keywords': {'Ava': ['way', 'talking visitor', 'non distracting', 'non', 'teacher addressing'], 'Ben': ['group', 'addressing', 'teacher addressing', 'teacher', 'students'], 'Cam': ['addressing']}}",Other,0.5158841013908386,0.33495599031448364,0.30826789140701294
210,2,"{'Ava': 'NONE', 'Ben': 'NONE', 'Cam': 'WCT'}",True,"{('Ava', 'Ben'): 0.7922996282577515, ('Ava', 'Cam'): 0.06401638686656952, ('Ben', 'Cam'): 0.06554913520812988}","{'has_disagreement': True, 'disagreement_pattern': {'Ava': 'NONE', 'Ben': 'NONE', 'Cam': 'WCT'}, 'unique_keywords': [], 'shared_keywords': [{'term': 'talking', 'agents': ['Ava', 'Ben']}, {'term': 'visitor', 'agents': ['Ava', 'Ben']}, {'term': 'talking visitor', 'agents': ['Ava', 'Ben']}, {'term': 'visitor non', 'agents': ['Ava', 'Ben']}, {'term': 'way', 'agents': ['Ava', 'Ben']}], 'agent_keywords': {'Ava': ['way', 'visitor non', 'visitor', 'talking visitor', 'talking'], 'Ben': ['way', 'visitor non', 'visitor', 'talking visitor', 'talking'], 'Cam': []}}",Other,0.7922996282577515,0.06401638686656952,0.06554913520812988
210,3,"{'Ava': 'GT', 'Ben': 'WCT', 'Cam': 'WCT'}",True,"{('Ava', 'Ben'): 0.4902516305446625, ('Ava', 'Cam'): 0.23267033696174622, ('Ben', 'Cam'): 0.49579909443855286}","{'has_disagreement': True, 'disagreement_pattern': {'Ava': 'GT', 'Ben': 'WCT', 'Cam': 'WCT'}, 'unique_keywords': [{'agent': 'Ava', 'code': 'GT', 'unique_terms': ['student group', 'group', 'student', 'group student']}, {'agent': 'Ben', 'code': 'WCT', 'unique_terms': ['teacher addressing', 'teacher', 'class everybody']}], 'shared_keywords': [{'term': 'addressing', 'agents': ['Ava', 'Ben', 'Cam']}, {'term': 'class', 'agents': ['Ben', 'Cam']}], 'agent_keywords': {'Ava': ['group', 'student', 'group student', 'addressing', 'student group'], 'Ben': ['class everybody', 'teacher addressing', 'teacher', 'class', 'addressing'], 'Cam': ['class', 'addressing']}}",Other,0.4902516305446625,0.23267033696174622,0.49579909443855286
211,1,"{'Ava': 'Other', 'Ben': 'WCT', 'Cam': 'WCT'}",True,"{('Ava', 'Ben'): 0.31579354405403137, ('Ava', 'Cam'): 0.31579354405403137, ('Ben', 'Cam'): 1.0000001192092896}","{'has_disagreement': True, 'disagreement_pattern': {'Ava': 'Other', 'Ben': 'WCT', 'Cam': 'WCT'}, 'unique_keywords': [{'agent': 'Ava', 'code': 'Other', 'unique_terms': ['cards context', 'class groups', 'context game', 'context', 'discussing']}], 'shared_keywords': [{'term': 'addressing', 'agents': ['Ben', 'Cam']}, {'term': 'class', 'agents': ['Ben', 'Cam']}, {'term': 'class addressing', 'agents': ['Ben', 'Cam']}], 'agent_keywords': {'Ava': ['discussing', 'context game', 'context', 'class groups', 'cards context'], 'Ben': ['class addressing', 'class', 'addressing'], 'Cam': ['class addressing', 'class', 'addressing']}}",WCT,0.31579354405403137,0.31579354405403137,1.0000001192092896
211,2,"{'Ava': 'Other', 'Ben': 'Other', 'Cam': 'WCT'}",True,"{('Ava', 'Ben'): 0.791540265083313, ('Ava', 'Cam'): 0.2762612998485565, ('Ben', 'Cam'): 0.31579354405403137}","{'has_disagreement': True, 'disagreement_pattern': {'Ava': 'Other', 'Ben': 'Other', 'Cam': 'WCT'}, 'unique_keywords': [{'agent': 'Ava', 'code': 'Other', 'unique_terms': ['group']}, {'agent': 'Ben', 'code': 'Other', 'unique_terms': ['context', 'discussing']}, {'agent': 'Cam', 'code': 'WCT', 'unique_terms': ['addressing']}], 'shared_keywords': [{'term': 'teacher', 'agents': ['Ava', 'Ben']}, {'term': 'class', 'agents': ['Ava', 'Cam']}, {'term': 'teacher discussing', 'agents': ['Ava', 'Ben']}, {'term': 'groups', 'agents': ['Ava', 'Ben']}], 'agent_keywords': {'Ava': ['group', 'teacher', 'class', 'teacher discussing', 'groups'], 'Ben': ['teacher discussing', 'teacher', 'groups', 'discussing', 'context'], 'Cam': ['class', 'addressing']}}",WCT,0.791540265083313,0.2762612998485565,0.31579354405403137
211,3,"{'Ava': 'Other', 'Ben': 'WCT', 'Cam': 'Other'}",True,"{('Ava', 'Ben'): 0.2601954936981201, ('Ava', 'Cam'): 0.6871931552886963, ('Ben', 'Cam'): 0.2731205224990845}","{'has_disagreement': True, 'disagreement_pattern': {'Ava': 'Other', 'Ben': 'WCT', 'Cam': 'Other'}, 'unique_keywords': [{'agent': 'Ben', 'code': 'WCT', 'unique_terms': ['addressing']}], 'shared_keywords': [{'term': 'groups context', 'agents': ['Ava', 'Cam']}, {'term': 'class', 'agents': ['Ava', 'Ben', 'Cam']}, {'term': 'group', 'agents': ['Ava', 'Cam']}, {'term': 'context', 'agents': ['Ava', 'Cam']}, {'term': 'groups', 'agents': ['Ava', 'Cam']}], 'agent_keywords': {'Ava': ['group', 'context', 'class', 'groups context', 'groups'], 'Ben': ['class', 'addressing'], 'Cam': ['group', 'context', 'class', 'groups context', 'groups']}}",WCT,0.2601954936981201,0.6871931552886963,0.2731205224990845
212,1,"{'Ava': 'WCT', 'Ben': 'WCT', 'Cam': 'NONE'}",True,"{('Ava', 'Ben'): 0.3560361862182617, ('Ava', 'Cam'): 0.36293286085128784, ('Ben', 'Cam'): 0.2616305351257324}","{'has_disagreement': True, 'disagreement_pattern': {'Ava': 'WCT', 'Ben': 'WCT', 'Cam': 'NONE'}, 'unique_keywords': [{'agent': 'Ava', 'code': 'WCT', 'unique_terms': ['wct', 'text yeah', 'indicating']}, {'agent': 'Ben', 'code': 'WCT', 'unique_terms': ['addressing']}, {'agent': 'Cam', 'code': 'NONE', 'unique_terms': ['students', 'teacher addressing', 'teacher', 'text describes']}], 'shared_keywords': [{'term': 'class', 'agents': ['Ava', 'Ben']}, {'term': 'text', 'agents': ['Ava', 'Cam']}], 'agent_keywords': {'Ava': ['wct', 'text yeah', 'text', 'indicating', 'class'], 'Ben': ['class', 'addressing'], 'Cam': ['students', 'text describes', 'teacher addressing', 'teacher', 'text']}}",Other,0.3560361862182617,0.36293286085128784,0.2616305351257324
212,2,"{'Ava': 'WCT', 'Ben': 'WCT', 'Cam': 'WCT'}",False,"{('Ava', 'Ben'): 0.3560361862182617, ('Ava', 'Cam'): 0.3560361862182617, ('Ben', 'Cam'): 1.0000001192092896}","{'has_disagreement': False, 'unique_keywords': [], 'shared_keywords': []}",Other,0.3560361862182617,0.3560361862182617,1.0000001192092896
213,1,"{'Ava': 'WCT', 'Ben': 'WCT', 'Cam': 'WCT'}",False,"{('Ava', 'Ben'): 1.0000001192092896, ('Ava', 'Cam'): 1.0000001192092896, ('Ben', 'Cam'): 1.0000001192092896}","{'has_disagreement': False, 'unique_keywords': [], 'shared_keywords': []}",GT,1.0000001192092896,1.0000001192092896,1.0000001192092896
214,1,"{'Ava': 'GT', 'Ben': 'WCT', 'Cam': 'WCT'}",True,"{('Ava', 'Ben'): 0.4135851263999939, ('Ava', 'Cam'): 0.4135851263999939, ('Ben', 'Cam'): 1.0000001192092896}","{'has_disagreement': True, 'disagreement_pattern': {'Ava': 'GT', 'Ben': 'WCT', 'Cam': 'WCT'}, 'unique_keywords': [{'agent': 'Ava', 'code': 'GT', 'unique_terms': ['students', 'teacher addressing', 'teacher', 'students class']}], 'shared_keywords': [{'term': 'addressing', 'agents': ['Ben', 'Cam']}, {'term': 'class', 'agents': ['Ava', 'Ben', 'Cam']}, {'term': 'class addressing', 'agents': ['Ben', 'Cam']}], 'agent_keywords': {'Ava': ['class', 'teacher addressing', 'teacher', 'students class', 'students'], 'Ben': ['class addressing', 'class', 'addressing'], 'Cam': ['class addressing', 'class', 'addressing']}}",Other,0.4135851263999939,0.4135851263999939,1.0000001192092896
